Order_ID,Date,Region,Category,Product,Sales,Quantity,Discount,Profit,Customer_Rating
O1041,2026-05-03,South,Stationery,Printer Paper,874.0,2,0.05,192.28,4.5
O1042,2026-05-05,East,Electronics,Monitor,31740.0,3,0.08,4443.6,4.6
O1043,2026-05-07,West,Stationery,Pen Set,690.0,4,0.0,151.8,4.7
O1044,2026-05-09,North,Electronics,Laptop,91770.0,2,0.05,12847.8,4.8
O1045,2026-05-11,South,Furniture,Desk,53958.0,3,0.08,8093.7,4.9
O1046,2026-05-13,East,Electronics,Smartphone,101200.0,4,0.0,14168.0,4.0
O1047,2026-05-15,West,Stationery,Notebook,655.5,2,0.05,144.21,4.1
O1048,2026-05-17,North,Furniture,Office Chair,25392.0,3,0.08,3808.8,4.2
O1049,2026-05-19,South,Electronics,Headphones,6900.0,4,0.0,966.0,4.3
O1050,2026-05-21,East,Stationery,Printer Paper,874.0,2,0.05,192.28,4.4
O1051,2026-06-03,East,Electronics,Laptop,94164.0,2,0.05,13182.96,4.6
O1052,2026-06-05,West,Furniture,Desk,55365.6,3,0.08,8304.84,4.7
O1053,2026-06-07,North,Electronics,Smartphone,103840.0,4,0.0,14537.6,4.8
O1054,2026-06-09,South,Stationery,Notebook,672.6,2,0.05,147.97,4.9
O1055,2026-06-11,East,Furniture,Office Chair,26054.4,3,0.08,3908.16,4.0
O1056,2026-06-13,West,Electronics,Headphones,7080.0,4,0.0,991.2,4.1
O1057,2026-06-15,North,Stationery,Printer Paper,896.8,2,0.05,197.3,4.2
O1058,2026-06-17,South,Electronics,Monitor,32568.0,3,0.08,4559.52,4.3
O1059,2026-06-19,East,Stationery,Pen Set,708.0,4,0.0,155.76,4.4
O1060,2026-06-21,West,Electronics,Laptop,94164.0,2,0.05,13182.96,4.5
O1061,2026-07-03,West,Stationery,Notebook,689.7,2,0.05,151.73,4.7
O1062,2026-07-05,North,Furniture,Office Chair,26716.8,3,0.08,4007.52,4.8
O1063,2026-07-07,South,Electronics,Headphones,7260.0,4,0.0,1016.4,4.9
O1064,2026-07-09,East,Stationery,Printer Paper,919.6,2,0.05,202.31,4.0
O1065,2026-07-11,West,Electronics,Monitor,33396.0,3,0.08,4675.44,4.1
O1066,2026-07-13,North,Stationery,Pen Set,726.0,4,0.0,159.72,4.2
O1067,2026-07-15,South,Electronics,Laptop,96558.0,2,0.05,13518.12,4.3
O1068,2026-07-17,East,Furniture,Desk,56773.2,3,0.08,8515.98,4.4
O1069,2026-07-19,West,Electronics,Smartphone,106480.0,4,0.0,14907.2,4.5
O1070,2026-07-21,North,Stationery,Notebook,689.7,2,0.05,151.73,4.6
O1071,2026-08-03,North,Stationery,Printer Paper,942.4,2,0.05,207.33,4.8
O1072,2026-08-05,South,Electronics,Monitor,34224.0,3,0.08,4791.36,4.9
O1073,2026-08-07,East,Stationery,Pen Set,744.0,4,0.0,163.68,4.0
O1074,2026-08-09,West,Electronics,Laptop,98952.0,2,0.05,13853.28,4.1
O1075,2026-08-11,North,Furniture,Desk,58180.8,3,0.08,8727.12,4.2
O1076,2026-08-13,South,Electronics,Smartphone,109120.0,4,0.0,15276.8,4.3
O1077,2026-08-15,East,Stationery,Notebook,706.8,2,0.05,155.5,4.4
O1078,2026-08-17,West,Furniture,Office Chair,27379.2,3,0.08,4106.88,4.5
O1079,2026-08-19,North,Electronics,Headphones,7440.0,4,0.0,1041.6,4.6
O1080,2026-08-21,South,Stationery,Printer Paper,942.4,2,0.05,207.33,4.7
O1081,2026-08-23,West,Electronics,Laptop,250000.0,1,0.02,50000.0,4.9
